num_parts,num_edges,avg_degree,density,avg_edge_weight,set_num
25,300,24.0,1.0,0.32866666666666666,378-1
5,10,4.0,1.0,0.37,3781-1
5,10,4.0,1.0,0.42000000000000004,3782-1
5,10,4.0,1.0,0.5,3784-1
7,21,6.0,1.0,0.3666666666666667,3786-1
7,21,6.0,1.0,0.27142857142857146,3787-1
9,36,8.0,1.0,0.27222222222222225,3788-1
7,21,6.0,1.0,0.42857142857142855,3789-1
49,1176,48.0,1.0,0.29209183673469385,379-1
7,21,6.0,1.0,0.43809523809523804,3791-1
26,325,25.0,1.0,0.32338461538461544,379-2
10,45,9.0,1.0,0.2577777777777778,3792-1
10,45,9.0,1.0,0.2088888888888889,3793-1
11,55,10.0,1.0,0.27636363636363637,3794-1
12,66,11.0,1.0,0.3515151515151515,3795-1
14,91,13.0,1.0,0.3945054945054945,3796-1
8,28,7.0,1.0,0.26785714285714285,3797-1
15,105,14.0,1.0,0.23142857142857143,3798-1
16,120,15.0,1.0,0.33083333333333337,3-8
62,1891,61.0,1.0,0.26567953463775784,3800-1
1,0,0.0,0.0,0.0,380-1
18,153,17.0,1.0,0.3235294117647059,3801-1
24,276,23.0,1.0,0.3188405797101449,3803-1
132,8646,131.0,1.0,0.2479759426324312,3804-1
1,0,0.0,0.0,0.0,3805-1
55,1485,54.0,1.0,0.3269360269360269,3806-1
50,1225,49.0,1.0,0.3834285714285714,3807-1
52,1326,51.0,1.0,0.36206636500754147,3808-1
58,1653,57.0,1.0,0.3286751361161524,3809-1
30,435,29.0,1.0,0.33862068965517245,381-1
74,2701,73.0,1.0,0.27326915957052944,381-2
55,1485,54.0,1.0,0.1903703703703704,3815-1
61,1830,60.0,1.0,0.19863387978142077,3816-1
88,3828,87.0,1.0,0.18921107628004183,3817-1
134,8911,133.0,1.0,0.17452586690607116,3818-1
29,406,28.0,1.0,0.2874384236453202,382-1
103,5253,102.0,1.0,0.1912621359223301,3825-1
94,4371,93.0,1.0,0.2024021962937543,3826-1
138,9453,137.0,1.0,0.18289431926372582,3827-1
126,7875,125.0,1.0,0.20431746031746031,3828-1
134,8911,133.0,1.0,0.23653910896644598,3829-1
79,3081,78.0,1.0,0.1942875689711133,3830-1
38,703,37.0,1.0,0.27311522048364156,383-1
85,3570,84.0,1.0,0.20106442577030814,3831-1
47,1081,46.0,1.0,0.2904717853839038,383-2
91,4095,90.0,1.0,0.20315018315018316,3832-1
67,2211,66.0,1.0,0.2021709633649932,3833-1
114,6441,113.0,1.0,0.17591988821611554,3834-1
35,595,34.0,1.0,0.19445378151260503,3835-1
24,276,23.0,1.0,0.2510869565217391,3836-1
28,378,27.0,1.0,0.22883597883597884,3837-1
31,465,30.0,1.0,0.22731182795698926,3838-1
28,378,27.0,1.0,0.20317460317460317,3839-1
33,528,32.0,1.0,0.25303030303030305,3840-1
27,351,26.0,1.0,0.5287749287749287,384-1
38,703,37.0,1.0,0.2056899004267425,3841-1
30,435,29.0,1.0,0.22919540229885058,3842-1
39,741,38.0,1.0,0.22901484480431852,3843-1
67,2211,66.0,1.0,0.19014020805065582,3844-1
22,231,21.0,1.0,0.28874458874458875,3845-1
25,300,24.0,1.0,0.21733333333333335,3846-1
35,595,34.0,1.0,0.21495798319327733,3847-1
45,990,44.0,1.0,0.2088888888888889,3848-1
34,561,33.0,1.0,0.2281639928698752,3849-1
17,136,16.0,1.0,0.30661764705882355,3850031-1
58,1653,57.0,1.0,0.19733817301875378,3850-1
